DayOrder,Faculty ID,Slot,Venue
1,103324,FN,"TP103, TP105, TP201, TP202 ,TP203"
1,103049,FN,"TP204 S, TP205, TP206, TP301, TP302"
1,103107,FN,"TP303, TP304, TP305, TP306, TP403"
1,102463,FN,"TP406, TP503, TP504, TP505, TP506"
1,103108,AN,"TP103, TP105, TP201, TP202 ,TP203"
1,103100,AN,"TP204 S, TP205, TP206, TP301, TP302"
1,103105,AN,"TP303, TP304, TP305, TP306, TP403"
1,102687,AN,"TP406, TP503, TP504, TP505, TP506"
2,103330,FN,"TP103, TP105, TP201, TP202 ,TP203"
2,103096,FN,"TP204 S, TP205, TP206, TP301, TP302"
2,102686,FN,"TP303, TP304, TP305, TP306, TP403"
2,103103,FN,"TP406, TP503, TP504, TP505, TP506"
2,100394,AN,"TP103, TP105, TP201, TP202 ,TP203"
2,103116,AN,"TP204 S, TP205, TP206, TP301, TP302"
2,103344,AN,"TP303, TP304, TP305, TP306, TP403"
2,102910,AN,"TP406, TP503, TP504, TP505, TP506"
3,103093,FN,"TP103, TP105, TP201, TP202 ,TP203"
3,103109,FN,"TP204 S, TP205, TP206, TP301, TP302"
3,103107,FN,"TP303, TP304, TP305, TP306, TP403"
3,103118,FN,"TP406, TP503, TP504, TP505, TP506"
3,103104,AN,"TP103, TP105, TP201, TP202 ,TP203"
3,103054,AN,"TP204 S, TP205, TP206, TP301, TP302"
3,103043,AN,"TP303, TP304, TP305, TP306, TP403"
3,103525,AN,"TP406, TP503, TP504, TP505, TP506"
4,103099,FN,"TP103, TP105, TP201, TP202 ,TP203"
4,103110,FN,"TP204 S, TP205, TP206, TP301, TP302"
4,103122,FN,"TP303, TP304, TP305, TP306, TP403"
4,102834,FN,"TP406, TP503, TP504, TP505, TP506"
4,103124,AN,"TP103, TP105, TP201, TP202 ,TP203"
4,103114,AN,"TP204 S, TP205, TP206, TP301, TP302"
4,102813,AN,"TP303, TP304, TP305, TP306, TP403"
4,103129,AN,"TP406, TP503, TP504, TP505, TP506"
5,103324,FN ,"TP103, TP105, TP201, TP202 ,TP203"
5,103049,FN,"TP204 S, TP205, TP206, TP301, TP302"
5,103107,FN,"TP303, TP304, TP305, TP306, TP403"
5,102463,FN,"TP406, TP503, TP504, TP505, TP506"
5,103108,AN,"TP103, TP105, TP201, TP202 ,TP203"
5,103100,AN,"TP204 S, TP205, TP206, TP301, TP302"
5,103105,AN,"TP303, TP304, TP305, TP306, TP403"
5,102687,AN,"TP406, TP503, TP504, TP505, TP506"